영업일자,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_BBQ55(단체),"느티나무 셀프BBQ_대여료 30,000원","느티나무 셀프BBQ_대여료 60,000원","느티나무 셀프BBQ_대여료 90,000원","느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_일회용 종이컵,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),느티나무 셀프BBQ_잔디그늘집 의자 추가,느티나무 셀프BBQ_참이슬 (단체),느티나무 셀프BBQ_친환경 접시 14cm,느티나무 셀프BBQ_친환경 접시 23cm,느티나무 셀프BBQ_카스 병(단체),느티나무 셀프BBQ_콜라 (단체),느티나무 셀프BBQ_햇반,느티나무 셀프BBQ_허브솔트,담하_(단체) 공깃밥,담하_(단체) 생목살 김치전골 2.0,담하_(단체) 은이버섯 갈비탕,담하_(단체) 한우 우거지 국밥,담하_(단체) 황태해장국 3/27까지,담하_(정식) 된장찌개,담하_(정식) 물냉면 ,담하_(정식) 비빔냉면,담하_(후식) 된장찌개,담하_(후식) 물냉면,담하_(후식) 비빔냉면,담하_갑오징어 비빔밥,담하_갱시기,담하_공깃밥,담하_꼬막 비빔밥,담하_느린마을 막걸리,담하_담하 한우 불고기,담하_담하 한우 불고기 정식,담하_더덕 한우 지짐,담하_들깨 양지탕,담하_라면사리,담하_룸 이용료,담하_메밀면 사리,담하_명인안동소주,담하_명태회 비빔냉면,담하_문막 복분자 칵테일,담하_봉평메밀 물냉면,담하_생목살 김치찌개,담하_스프라이트,담하_은이버섯 갈비탕,담하_제로콜라,담하_참이슬,담하_처음처럼,담하_카스,담하_콜라,담하_테라,담하_하동 매실 칵테일,담하_한우 떡갈비 정식,담하_한우 미역국 정식,담하_한우 우거지 국밥,담하_한우 차돌박이 된장찌개,담하_황태해장국,라그로타_AUS (200g),라그로타_G-Charge(3),라그로타_Gls.Sileni,라그로타_Gls.미션 서드,라그로타_Open Food,라그로타_그릴드 비프 샐러드,라그로타_까르보나라,라그로타_모둠 해산물 플래터,라그로타_미션 서드 카베르네 쉬라,라그로타_버섯 크림 리조또,라그로타_빵 추가 (1인),라그로타_스프라이트,라그로타_시저 샐러드 ,라그로타_아메리카노,라그로타_알리오 에 올리오 ,라그로타_양갈비 (4ps),라그로타_자몽리치에이드,라그로타_제로콜라,라그로타_카스,라그로타_콜라,라그로타_하이네켄(생),라그로타_한우 (200g),라그로타_해산물 토마토 리조또,라그로타_해산물 토마토 스튜 파스타,라그로타_해산물 토마토 스파게티,"미라시아_(단체)브런치주중 36,000",미라시아_(오븐) 하와이안 쉬림프 피자,미라시아_(화덕) 불고기 페퍼로니 반반피자,미라시아_BBQ Platter,미라시아_BBQ 고기추가,미라시아_공깃밥,미라시아_글라스와인 (레드),미라시아_레인보우칵테일(알코올),미라시아_미라시아 브런치 (패키지),미라시아_버드와이저(무제한),미라시아_보일링 랍스타 플래터,미라시아_보일링 랍스타 플래터(덜매운맛),미라시아_브런치 2인 패키지 ,미라시아_브런치 4인 패키지 ,미라시아_브런치(대인) 주말,미라시아_브런치(대인) 주중,미라시아_브런치(어린이),미라시아_쉬림프 투움바 파스타,미라시아_스텔라(무제한),미라시아_스프라이트,미라시아_애플망고 에이드,미라시아_얼그레이 하이볼,미라시아_오븐구이 윙과 킬바사소세지,미라시아_유자 하이볼,미라시아_잭 애플 토닉,미라시아_칠리 치즈 프라이,미라시아_코카콜라,미라시아_코카콜라(제로),미라시아_콥 샐러드,미라시아_파스타면 추가(150g),미라시아_핑크레몬에이드,연회장_Cass Beer,연회장_Conference L1,연회장_Conference L2,연회장_Conference L3,연회장_Conference M1,연회장_Conference M8,연회장_Conference M9,연회장_Convention Hall,연회장_Cookie Platter,연회장_Grand Ballroom,연회장_OPUS 2,연회장_Regular Coffee,연회장_골뱅이무침,연회장_공깃밥,연회장_돈목살 김치찌개 (밥포함),연회장_로제 치즈떡볶이,연회장_마라샹궈,연회장_매콤 무뼈닭발&계란찜,연회장_모둠 돈육구이(3인),연회장_삼겹살추가 (200g),연회장_야채추가,연회장_왕갈비치킨,연회장_주먹밥 (2ea),카페테리아_공깃밥(추가),카페테리아_구슬아이스크림,카페테리아_단체식 13000(신),카페테리아_단체식 18000(신),카페테리아_돼지고기 김치찌개,카페테리아_복숭아 아이스티,카페테리아_새우 볶음밥,카페테리아_새우튀김 우동,카페테리아_샷 추가,카페테리아_수제 등심 돈까스,카페테리아_아메리카노(HOT),카페테리아_아메리카노(ICE),카페테리아_약 고추장 돌솥비빔밥,카페테리아_어린이 돈까스,카페테리아_오픈푸드,카페테리아_진사골 설렁탕,카페테리아_짜장면,카페테리아_짜장밥,카페테리아_짬뽕,카페테리아_짬뽕밥,카페테리아_치즈돈까스,카페테리아_카페라떼(HOT),카페테리아_카페라떼(ICE),카페테리아_한상 삼겹구이 정식(2인) 소요시간 약 15~20분,포레스트릿_꼬치어묵,포레스트릿_떡볶이,포레스트릿_복숭아 아이스티,포레스트릿_생수,포레스트릿_스프라이트,포레스트릿_아메리카노(HOT),포레스트릿_아메리카노(ICE),포레스트릿_치즈 핫도그,포레스트릿_카페라떼(HOT),포레스트릿_카페라떼(ICE),포레스트릿_코카콜라,포레스트릿_페스츄리 소시지,화담숲주막_느린마을 막걸리,화담숲주막_단호박 식혜 ,화담숲주막_병천순대,화담숲주막_스프라이트,화담숲주막_참살이 막걸리,화담숲주막_찹쌀식혜,화담숲주막_콜라,화담숲주막_해물파전,화담숲카페_메밀미숫가루,화담숲카페_아메리카노 HOT,화담숲카페_아메리카노 ICE,화담숲카페_카페라떼 ICE,화담숲카페_현미뻥스크림
TEST_05+4일,6.0,38.0,4.0,1.0,1.0,2.0,12.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,11.0,3.0,22.0,1.0,1.0,33.0,12.0,2.0,1.0,2.0,43.0,31.0,22.0,35.0,12.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,22.0,4.0,1.0,18.0,17.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,20.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,14.0,8.0,6.0,11.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,4.0,24.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,15.0,4.0,2.0,1.0,2.0,1.0,55.0,33.0,34.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,52.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,35.0,4.0,3.0,3.0,2.0,1.0,2.0,5.0,2.0,1.0,4.0,2.0,49.0,23.0,70.0,57.0,62.0,40.0,42.0,19.0,2.0,140.0,83.0,64.0,60.0,31.0,2.0,42.0,55.0,6.0,36.0,18.0,67.0,58.0,17.0,4.0,400.0,235.0,62.0,266.0,27.0,80.0,60.0,136.0,40.0,6.0,75.0,63.0,74.0,58.0,74.0,49.0,67.0,69.0,56.0,240.0,65.0,54.0,85.0,28.0,50.0
TEST_05+5일,7.0,39.0,5.0,2.0,1.0,2.0,16.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0,10.0,3.0,27.0,1.0,1.0,39.0,15.0,2.0,1.0,3.0,44.0,35.0,22.0,43.0,12.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,24.0,4.0,1.0,20.0,16.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,20.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,14.0,8.0,5.0,13.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,37.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,15.0,3.0,2.0,1.0,2.0,1.0,7.0,105.0,37.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,49.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,35.0,4.0,3.0,3.0,2.0,1.0,1.0,5.0,2.0,2.0,4.0,1.0,47.0,31.0,59.0,63.0,63.0,39.0,43.0,19.0,2.0,124.0,108.0,63.0,56.0,30.0,1.0,40.0,50.0,6.0,33.0,21.0,66.0,70.0,16.0,4.0,357.0,160.0,39.0,144.0,26.0,75.0,42.0,113.0,36.0,4.0,60.0,61.0,66.0,48.0,67.0,41.0,67.0,69.0,51.0,243.0,56.0,63.0,62.0,23.0,42.0
TEST_05+6일,6.0,32.0,6.0,2.0,1.0,2.0,13.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,12.0,3.0,21.0,1.0,1.0,29.0,11.0,2.0,1.0,3.0,32.0,23.0,18.0,53.0,11.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,30.0,4.0,2.0,21.0,16.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,20.0,1.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,17.0,7.0,5.0,13.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,4.0,37.0,1.0,3.0,6.0,1.0,2.0,1.0,1.0,15.0,4.0,2.0,1.0,2.0,1.0,6.0,109.0,42.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,47.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,33.0,4.0,3.0,4.0,2.0,1.0,2.0,7.0,2.0,1.0,4.0,2.0,54.0,45.0,66.0,55.0,66.0,42.0,45.0,24.0,2.0,144.0,104.0,73.0,63.0,34.0,1.0,55.0,53.0,7.0,38.0,22.0,74.0,67.0,17.0,5.0,517.0,281.0,52.0,274.0,39.0,97.0,65.0,143.0,45.0,5.0,77.0,75.0,68.0,53.0,66.0,43.0,66.0,65.0,51.0,267.0,55.0,59.0,69.0,25.0,47.0
TEST_05+7일,5.0,36.0,6.0,2.0,1.0,2.0,7.0,5.0,3.0,1.0,2.0,1.0,1.0,3.0,16.0,3.0,14.0,1.0,1.0,16.0,8.0,2.0,1.0,2.0,20.0,21.0,15.0,37.0,14.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,44.0,6.0,2.0,30.0,22.0,2.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,25.0,2.0,7.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,21.0,13.0,8.0,18.0,5.0,3.0,1.0,2.0,4.0,1.0,3.0,4.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,15.0,1.0,5.0,9.0,1.0,2.0,1.0,1.0,7.0,6.0,3.0,1.0,3.0,1.0,122.0,6.0,40.0,5.0,5.0,3.0,7.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,21.0,6.0,5.0,6.0,3.0,2.0,3.0,13.0,3.0,1.0,5.0,3.0,80.0,80.0,52.0,55.0,94.0,72.0,65.0,29.0,3.0,285.0,181.0,146.0,87.0,42.0,1.0,67.0,86.0,8.0,61.0,32.0,125.0,105.0,31.0,6.0,781.0,403.0,100.0,491.0,57.0,152.0,110.0,285.0,77.0,9.0,138.0,122.0,87.0,77.0,94.0,58.0,84.0,96.0,78.0,345.0,79.0,70.0,93.0,29.0,68.0
TEST_06+1일,4.0,33.0,5.0,1.0,1.0,1.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,13.0,2.0,12.0,1.0,1.0,19.0,9.0,2.0,1.0,1.0,23.0,23.0,19.0,26.0,8.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,29.0,4.0,2.0,20.0,15.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,21.0,1.0,7.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,16.0,6.0,5.0,12.0,6.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,13.0,1.0,3.0,8.0,1.0,3.0,1.0,1.0,16.0,5.0,1.0,1.0,2.0,1.0,73.0,4.0,26.0,4.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,21.0,4.0,3.0,4.0,2.0,1.0,2.0,7.0,2.0,1.0,3.0,3.0,64.0,29.0,48.0,61.0,49.0,43.0,41.0,38.0,4.0,180.0,124.0,116.0,51.0,28.0,1.0,46.0,63.0,4.0,34.0,17.0,64.0,75.0,26.0,5.0,352.0,233.0,50.0,212.0,26.0,54.0,42.0,165.0,35.0,7.0,55.0,54.0,67.0,63.0,74.0,47.0,63.0,71.0,61.0,274.0,58.0,52.0,71.0,22.0,53.0
TEST_06+2일,5.0,38.0,3.0,2.0,1.0,2.0,11.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,11.0,2.0,16.0,1.0,1.0,30.0,13.0,2.0,1.0,2.0,33.0,31.0,23.0,32.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,19.0,4.0,1.0,14.0,9.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,18.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,7.0,4.0,4.0,8.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,36.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,8.0,4.0,1.0,1.0,2.0,1.0,17.0,86.0,31.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,40.0,3.0,3.0,3.0,2.0,1.0,2.0,5.0,1.0,1.0,3.0,2.0,46.0,21.0,56.0,71.0,43.0,32.0,37.0,24.0,4.0,107.0,69.0,66.0,42.0,21.0,2.0,42.0,41.0,4.0,29.0,14.0,47.0,45.0,16.0,4.0,268.0,173.0,42.0,148.0,24.0,40.0,28.0,84.0,24.0,5.0,42.0,40.0,61.0,53.0,63.0,40.0,55.0,61.0,51.0,217.0,54.0,46.0,70.0,23.0,42.0
TEST_06+3일,4.0,33.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,11.0,2.0,14.0,1.0,1.0,25.0,8.0,2.0,1.0,2.0,35.0,29.0,20.0,63.0,7.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,17.0,3.0,1.0,13.0,14.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,14.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,4.0,4.0,6.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,37.0,1.0,2.0,5.0,1.0,3.0,1.0,1.0,7.0,4.0,1.0,1.0,2.0,1.0,18.0,64.0,19.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,38.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,56.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,44.0,19.0,69.0,95.0,41.0,31.0,37.0,22.0,3.0,108.0,59.0,49.0,38.0,16.0,2.0,35.0,41.0,4.0,27.0,13.0,43.0,36.0,16.0,4.0,214.0,148.0,36.0,126.0,20.0,33.0,29.0,68.0,21.0,5.0,43.0,37.0,73.0,67.0,80.0,54.0,60.0,81.0,64.0,241.0,76.0,38.0,119.0,34.0,60.0
TEST_06+4일,4.0,38.0,3.0,2.0,1.0,2.0,9.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,8.0,2.0,19.0,1.0,1.0,27.0,13.0,2.0,1.0,2.0,28.0,31.0,17.0,43.0,6.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,15.0,3.0,2.0,11.0,8.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,14.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,6.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,41.0,2.0,3.0,5.0,1.0,2.0,2.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,15.0,34.0,15.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,41.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,37.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,3.0,2.0,24.0,13.0,43.0,36.0,33.0,18.0,21.0,16.0,1.0,64.0,46.0,34.0,23.0,9.0,1.0,21.0,21.0,3.0,25.0,8.0,23.0,24.0,13.0,3.0,129.0,73.0,15.0,46.0,8.0,16.0,8.0,32.0,12.0,3.0,15.0,17.0,58.0,33.0,57.0,27.0,43.0,33.0,33.0,159.0,32.0,35.0,48.0,17.0,26.0
TEST_06+5일,4.0,37.0,3.0,1.0,1.0,2.0,6.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,12.0,2.0,15.0,1.0,1.0,26.0,9.0,2.0,1.0,2.0,36.0,28.0,18.0,43.0,6.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,19.0,4.0,2.0,16.0,11.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,15.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,4.0,4.0,6.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,41.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,11.0,3.0,1.0,1.0,2.0,1.0,20.0,53.0,21.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,52.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,31.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,40.0,25.0,57.0,73.0,38.0,30.0,35.0,23.0,4.0,121.0,48.0,55.0,37.0,15.0,1.0,36.0,40.0,4.0,27.0,12.0,39.0,32.0,18.0,4.0,220.0,152.0,44.0,169.0,22.0,33.0,34.0,81.0,19.0,5.0,45.0,42.0,67.0,62.0,72.0,49.0,53.0,75.0,58.0,237.0,67.0,31.0,118.0,34.0,57.0
TEST_06+6일,6.0,42.0,5.0,3.0,1.0,2.0,10.0,5.0,2.0,1.0,2.0,1.0,1.0,3.0,17.0,3.0,13.0,1.0,2.0,23.0,12.0,2.0,1.0,1.0,29.0,25.0,17.0,41.0,7.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,31.0,5.0,2.0,26.0,13.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,19.0,1.0,7.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,13.0,6.0,6.0,13.0,15.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,34.0,1.0,3.0,9.0,1.0,3.0,1.0,1.0,14.0,5.0,2.0,1.0,3.0,1.0,6.0,71.0,28.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,32.0,5.0,3.0,5.0,3.0,2.0,2.0,11.0,3.0,1.0,4.0,3.0,41.0,33.0,59.0,97.0,42.0,34.0,36.0,26.0,4.0,128.0,68.0,78.0,43.0,18.0,2.0,37.0,41.0,5.0,32.0,15.0,46.0,37.0,22.0,6.0,293.0,217.0,53.0,214.0,31.0,42.0,51.0,142.0,25.0,7.0,58.0,48.0,76.0,82.0,86.0,66.0,56.0,92.0,75.0,268.0,85.0,34.0,147.0,44.0,82.0
TEST_06+7일,6.0,38.0,7.0,4.0,1.0,3.0,13.0,5.0,2.0,1.0,3.0,1.0,2.0,3.0,18.0,4.0,11.0,1.0,2.0,19.0,13.0,3.0,1.0,2.0,23.0,25.0,15.0,35.0,12.0,5.0,4.0,5.0,3.0,2.0,3.0,4.0,51.0,7.0,3.0,36.0,21.0,1.0,4.0,1.0,2.0,3.0,1.0,4.0,1.0,4.0,33.0,2.0,8.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,21.0,7.0,6.0,15.0,7.0,3.0,2.0,2.0,4.0,1.0,3.0,4.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,2.0,6.0,13.0,2.0,4.0,1.0,1.0,5.0,8.0,2.0,2.0,4.0,1.0,74.0,6.0,31.0,6.0,4.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,18.0,7.0,5.0,7.0,4.0,3.0,3.0,15.0,3.0,1.0,4.0,4.0,59.0,50.0,35.0,56.0,59.0,73.0,49.0,39.0,6.0,211.0,117.0,158.0,61.0,25.0,2.0,44.0,57.0,5.0,53.0,20.0,84.0,57.0,39.0,6.0,476.0,293.0,78.0,299.0,45.0,63.0,79.0,208.0,37.0,12.0,93.0,86.0,83.0,91.0,106.0,72.0,68.0,115.0,88.0,307.0,97.0,33.0,165.0,45.0,96.0
TEST_07+1일,2.0,38.0,4.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,12.0,2.0,14.0,1.0,1.0,15.0,7.0,2.0,1.0,2.0,24.0,23.0,16.0,26.0,5.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,13.0,3.0,1.0,9.0,7.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,7.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,16.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,6.0,4.0,1.0,1.0,2.0,1.0,40.0,4.0,11.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,18.0,3.0,2.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,3.0,1.0,3.0,3.0,44.0,56.0,4.0,4.0,2.0,8.0,1.0,6.0,12.0,9.0,6.0,3.0,2.0,7.0,4.0,1.0,3.0,2.0,2.0,6.0,3.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,53.0,35.0,52.0,20.0,48.0,32.0,34.0,241.0,27.0,50.0,31.0,11.0,22.0
TEST_07+2일,2.0,56.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,9.0,2.0,19.0,1.0,1.0,25.0,5.0,1.0,1.0,2.0,29.0,34.0,22.0,29.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,21.0,30.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,35.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,68.0,81.0,3.0,3.0,2.0,6.0,1.0,3.0,8.0,7.0,4.0,1.0,2.0,7.0,2.0,1.0,1.0,2.0,2.0,5.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,54.0,46.0,53.0,32.0,51.0,54.0,43.0,257.0,48.0,44.0,60.0,18.0,35.0
TEST_07+3일,2.0,52.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,7.0,2.0,17.0,1.0,1.0,27.0,5.0,2.0,1.0,1.0,33.0,25.0,21.0,38.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,8.0,16.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,28.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,47.0,49.0,3.0,3.0,1.0,6.0,1.0,3.0,7.0,6.0,3.0,1.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,30.0,46.0,19.0,49.0,28.0,28.0,214.0,26.0,48.0,29.0,11.0,18.0
